new_index,sentence,target,top1_prediction,top1_log_probability,top3_predictions,top3_log_probabilities
1,"无意 间 转到 一 [MASK] 摩托车 网站 , 看 着 这些 曾经 情迷 到 疯狂 的 机器 。",个,个,-0.2787216305732727,"个, 些, 家","-0.2787, -2.1316, -2.2163"
2,上传 了 1 [MASK] 照片 到 相册 真实 的 自己,张,张,-0.019954508170485497,"张, 个, 幅","-0.0200, -5.2243, -5.3637"
3,上传 了 1 [MASK] 照片 到 相册 2012 新 气象,张,张,-0.007310883607715368,"张, 个, 幅","-0.0073, -6.0099, -6.0558"
4,"数 [MASK] 盘石 上 , 几 叶 落 云 中 。",枝,枝,-0.8220521807670593,"枝, 根, 株","-0.8221, -2.3804, -3.0061"
5,"哎 , 把 一 [MASK] 电脑 修 的 加电 无 显 了 , 悲催 的 新年 开始 。",台,台,-0.18123647570610046,"台, 个, 部","-0.1812, -2.5526, -3.6260"
6,"集团 职能 片 年会 , 多 喝 了 两 [MASK] 绿 茶 , 结果 到 现在 还 很 有精神 , 悲催 啊 。",杯,杯,-0.5083907246589661,"杯, 瓶, 壶","-0.5084, -2.2685, -2.8196"
7,"分享 了 顺和 牛肉 火锅 , 在 华阳 , 关于 牛 肉类 的 都 不错 , 建议 点牛肝 , 特色 牛肉 图 中 码满 辣椒面 的 那 [MASK] 怕 辣 的 , 肠胃 不 好 的 , 友情 建议 最好 不 要 尝试 哈 。",盘,种,-0.2521950900554657,"种, 个, 些","-0.2522, -2.3067, -2.7652"
8,"昨晚 女儿 从 九点半 一觉 睡 到今 早 的 七点 , 是 她 出生 到 现在 第一 [MASK] 睡 整夜 觉 没 起来 喝奶 , 心想 是 不过 年 长大 了 今晚 快 九点 睡 了 , 不 知 晚上 还 会 不 会 要 喝奶 希望 不 要",次,次,-0.03590945526957512,"次, 个, 位","-0.0359, -3.4852, -7.2416"
9,"预祝 满分 , 少 一 [MASK] 回去 请 我 喝 一 瓶 。",分,点,-1.228356122970581,"点, 个, 瓶","-1.2284, -1.9548, -2.0724"
10,贴 一 [MASK] 个人 最 心 水 的 海报 。,张,些,-1.1208256483078003,"些, 张, 下","-1.1208, -1.3380, -1.7089"
