new_index,sentence,target,top1_prediction,top1_log_probability,top3_predictions,top3_log_probabilities
1,"无意 间 转到 一 [MASK] 摩托车 <h>网站</h> , 看 着 这些 曾经 情迷 到 疯狂 的 机器 。",个,个,-0.1677493005990982,"个, 家, 些","-0.1677, -2.3523, -3.0961"
2,上传 了 1 [MASK] <h>照片</h> 到 相册 真实 的 自己,张,张,-0.04133214056491852,"张, 组, 个","-0.0413, -4.1254, -4.2766"
3,上传 了 1 [MASK] <h>照片</h> 到 相册 2012 新 气象,张,张,-0.042065296322107315,"张, 组, 个","-0.0421, -3.6591, -4.8986"
4,"数 [MASK] <h>盘石</h> 上 , 几 叶 落 云 中 。",枝,句,-1.9448117017745972,"句, 点, 回","-1.9448, -2.6285, -2.9058"
5,"哎 , 把 一 [MASK] <h>电脑</h> 修 的 加电 无 显 了 , 悲催 的 新年 开始 。",台,台,-0.2850014865398407,"台, 个, 部","-0.2850, -1.8828, -3.7810"
6,"集团 职能 片 年会 , 多 喝 了 两 [MASK] 绿 <h>茶</h> , 结果 到 现在 还 很 有精神 , 悲催 啊 。",杯,杯,-0.48933982849121094,"杯, 瓶, 次","-0.4893, -2.5706, -2.8899"
7,"分享 了 顺和 牛肉 火锅 , 在 华阳 , 关于 牛 肉类 的 都 不错 , 建议 点牛肝 , 特色 牛肉 图 中 码满 辣椒面 的 那 [MASK] 怕 辣 的 , 肠胃 不 好 的 , 友情 <h>建议</h> 最好 不 要 尝试 哈 。",盘,种,-0.2684604823589325,"种, 个, 些","-0.2685, -2.3088, -2.5405"
8,"昨晚 女儿 从 九点半 一觉 <h>睡</h> 到今 早 的 七点 , 是 她 出生 到 现在 第一 [MASK] 睡 整夜 觉 没 起来 喝奶 , 心想 是 不过 年 长大 了 今晚 快 九点 睡 了 , 不 知 晚上 还 会 不 会 要 喝奶 希望 不 要",次,次,-0.05985431745648384,"次, 个, 位","-0.0599, -3.0019, -6.7651"
9,"预祝 满分 , 少 一 [MASK] <h>回去</h> 请 我 喝 一 瓶 。",分,点,-1.4068145751953125,"点, 瓶, 个","-1.4068, -1.5843, -1.8285"
10,贴 一 [MASK] 个人 最 心 水 的 <h>海报</h> 。,张,张,-0.4492814242839813,"张, 下, 个","-0.4493, -2.1588, -2.3268"
11,"思念 , 猶如 一 [MASK] <h>鋒利</h> 的 刻刀 , 刺入 心窩 , 再 也 拔 不 出來 了 。",把,把,-0.024720020592212677,"把, 支, 道","-0.0247, -5.1920, -5.5141"
12,可 乐 鸡翅 炖 排骨 美味 的 一 [MASK] <h>WeicoLomo</h>,餐,餐,-0.3282696008682251,"餐, 道, 顿","-0.3283, -1.9646, -2.6932"
13,不过 提前 快 一 [MASK] 钟 交卷 的 <h>感觉</h> 真 不错 !,个,分,-0.021278217434883118,"分, 点, 个","-0.0213, -4.1666, -5.3559"
14,"于是 , 我 就 喝 了 一 [MASK] <h>黑芝麻糊</h> 是 不 是 很 冷 ?",碗,杯,-0.6770105361938477,"杯, 口, 碗","-0.6770, -1.7851, -2.4546"
