new_index,sentence,target,top1_prediction,top1_log_probability,top3_predictions,top3_log_probabilities
1,"无意 间 转到 一 [MASK] 摩托车  , 看 着 这些 曾经 情迷 到 疯狂 的 机器 。",个,辆,-0.35883259773254395,"辆, 台, 部","-0.3588, -1.8722, -2.8448"
2,上传 了 1 [MASK]  到 相册 真实 的 自己,张,张,-0.11455049365758896,"张, 个, 页","-0.1146, -3.9823, -4.3219"
3,上传 了 1 [MASK]  到 相册 2012 新 气象,张,张,-0.060368672013282776,"张, 图, 页","-0.0604, -4.7350, -4.9183"
4,"数 [MASK]  上 , 几 叶 落 云 中 。",枝,天,-1.0922049283981323,"天, 树, 叶","-1.0922, -2.5598, -2.6641"
5,"哎 , 把 一 [MASK]  修 的 加电 无 显 了 , 悲催 的 新年 开始 。",台,年,-1.7902824878692627,"年, 直, 个","-1.7903, -1.8189, -2.3719"
6,"集团 职能 片 年会 , 多 喝 了 两 [MASK] 绿  , 结果 到 现在 还 很 有精神 , 悲催 啊 。",杯,杯,-0.9203622341156006,"杯, 瓶, 罐","-0.9204, -1.3520, -3.5291"
7,"分享 了 顺和 牛肉 火锅 , 在 华阳 , 关于 牛 肉类 的 都 不错 , 建议 点牛肝 , 特色 牛肉 图 中 码满 辣椒面 的 那 [MASK] 怕 辣 的 , 肠胃 不 好 的 , 友情  最好 不 要 尝试 哈 。",盘,种,-0.36655324697494507,"种, 个, 是","-0.3666, -2.4158, -2.5491"
8,"昨晚 女儿 从 九点半 一觉  到今 早 的 七点 , 是 她 出生 到 现在 第一 [MASK] 睡 整夜 觉 没 起来 喝奶 , 心想 是 不过 年 长大 了 今晚 快 九点 睡 了 , 不 知 晚上 还 会 不 会 要 喝奶 希望 不 要",次,次,-0.1903776079416275,"次, 个, 晚","-0.1904, -2.3644, -3.3794"
9,"预祝 满分 , 少 一 [MASK]  请 我 喝 一 瓶 。",分,瓶,-0.9752848148345947,"瓶, 点, 杯","-0.9753, -1.9003, -2.1407"
10,贴 一 [MASK] 个人 最 心 水 的  。,张,两,-1.4827316999435425,"两, 些, 下","-1.4827, -1.5984, -1.8224"
11,"思念 , 猶如 一 [MASK]  的 刻刀 , 刺入 心窩 , 再 也 拔 不 出來 了 。",把,把,-0.46545979380607605,"把, 柄, 根","-0.4655, -1.4657, -4.3678"
12,可 乐 鸡翅 炖 排骨 美味 的 一 [MASK] ,餐,！,-0.7045589089393616,"！, 。, 个","-0.7046, -0.8989, -4.9631"
13,不过 提前 快 一 [MASK] 钟 交卷 的  真 不错 !,个,分,-0.037651363760232925,"分, 点, 个","-0.0377, -4.0441, -4.9593"
