original_sentence,processed_sentence,target,top1_prediction,top3_predictions
"无意 间 转到 一 <CL> 摩托车 <h>网站</h> , 看 着 这些 曾经 情迷 到 疯狂 的 机器 。","无意 间 转到 一 [MASK] 摩托车 网站 , 看 着 这些 曾经 情迷 到 疯狂 的 机器 。",个,个,"个, 家, 些"
上传 了 1 <CL> <h>照片</h> 到 相册 真实 的 自己,上传 了 1 [MASK] 照片 到 相册 真实 的 自己,张,张,"张, 个, 幅"
上传 了 1 <CL> <h>照片</h> 到 相册 2012 新 气象,上传 了 1 [MASK] 照片 到 相册 2012 新 气象,张,张,"张, 个, 幅"
"数 <CL> <h>盘石</h> 上 , 几 叶 落 云 中 。","数 [MASK] 盘石 上 , 几 叶 落 云 中 。",枝,枝,"枝, 根, 株"
"哎 , 把 一 <CL> <h>电脑</h> 修 的 加电 无 显 了 , 悲催 的 新年 开始 。","哎 , 把 一 [MASK] 电脑 修 的 加电 无 显 了 , 悲催 的 新年 开始 。",台,台,"台, 个, 般"
"集团 职能 片 年会 , 多 喝 了 两 <CL> 绿 <h>茶</h> , 结果 到 现在 还 很 有精神 , 悲催 啊 。","集团 职能 片 年会 , 多 喝 了 两 [MASK] 绿 茶 , 结果 到 现在 还 很 有精神 , 悲催 啊 。",杯,杯,"杯, 瓶, 碗"
"分享 了 顺和 牛肉 火锅 , 在 华阳 , 关于 牛 肉类 的 都 不错 , 建议 点牛肝 , 特色 牛肉 图 中 码满 辣椒面 的 那 <CL> 怕 辣 的 , 肠胃 不 好 的 , 友情 <h>建议</h> 最好 不 要 尝试 哈 。","分享 了 顺和 牛肉 火锅 , 在 华阳 , 关于 牛 肉类 的 都 不错 , 建议 点牛肝 , 特色 牛肉 图 中 码满 辣椒面 的 那 [MASK] 怕 辣 的 , 肠胃 不 好 的 , 友情 建议 最好 不 要 尝试 哈 。",盘,种,"种, 个, 些"
"昨晚 女儿 从 九点半 一觉 <h>睡</h> 到今 早 的 七点 , 是 她 出生 到 现在 第一 <CL> 睡 整夜 觉 没 起来 喝奶 , 心想 是 不过 年 长大 了 今晚 快 九点 睡 了 , 不 知 晚上 还 会 不 会 要 喝奶 希望 不 要","昨晚 女儿 从 九点半 一觉 睡 到今 早 的 七点 , 是 她 出生 到 现在 第一 [MASK] 睡 整夜 觉 没 起来 喝奶 , 心想 是 不过 年 长大 了 今晚 快 九点 睡 了 , 不 知 晚上 还 会 不 会 要 喝奶 希望 不 要",次,家,"家, 点, 起"
"预祝 满分 , 少 一 <CL> <h>回去</h> 请 我 喝 一 瓶 。","预祝 满分 , 少 一 [MASK] 回去 请 我 喝 一 瓶 。",分,点,"点, 个, 瓶"
贴 一 <CL> 个人 最 心 水 的 <h>海报</h> 。,贴 一 [MASK] 个人 最 心 水 的 海报 。,张,些,"些, 张, 下"
"思念 , 猶如 一 <CL> <h>鋒利</h> 的 刻刀 , 刺入 心窩 , 再 也 拔 不 出來 了 。","思念 , 猶如 一 [MASK] 鋒利 的 刻刀 , 刺入 心窩 , 再 也 拔 不 出來 了 。",把,把,"把, 支, 面"
可 乐 鸡翅 炖 排骨 美味 的 一 <CL> <h>WeicoLomo</h>,可 乐 鸡翅 炖 排骨 美味 的 一 [MASK] WeicoLomo,餐,餐,"餐, 道, 顿"
不过 提前 快 一 <CL> 钟 交卷 的 <h>感觉</h> 真 不错 !,不过 提前 快 一 [MASK] 钟 交卷 的 感觉 真 不错 !,个,分,"分, 点, 个"
"于是 , 我 就 喝 了 一 <CL> <h>黑芝麻糊</h> 是 不 是 很 冷 ?","于是 , 我 就 喝 了 一 [MASK] 黑芝麻糊 是 不 是 很 冷 ?",碗,杯,"杯, 口, 下"
"坐 在 舱 内 , 我 又 抬 起 头 , 透过 一 <CL> 大大 的 <h>防</h> 激光 玻璃 , 我 又 看到 了 星空 , 依旧 是 那么 的 灿烂 。","坐 在 舱 内 , 我 又 抬 起 头 , 透过 一 [MASK] 大大 的 防 激光 玻璃 , 我 又 看到 了 星空 , 依旧 是 那么 的 灿烂 。",扇,块,"块, 片, 个"
今天 拍 全 <CL> <h>福咯</h> !,今天 拍 全 [MASK] 福咯 !,家,家,"家, 场, 身"
"在 武汉 的 <h>时候</h> 我 总是 问 你 我 爱 你 你 爱 我 吗 , 每 <CL> 听到 你 说 我 爱 你 的 时候 我 真 想 大 声 地 告诉 大家 你 是 我 的 , 这 就 是 我 表达 我 心 中 喜悦 的 方式 , 呵呵 , 很 蠢 !","在 武汉 的 时候 我 总是 问 你 我 爱 你 你 爱 我 吗 , 每 [MASK] 听到 你 说 我 爱 你 的 时候 我 真 想 大 声 地 告诉 大家 你 是 我 的 , 这 就 是 我 表达 我 心 中 喜悦 的 方式 , 呵呵 , 很 蠢 !",次,个,"个, 些, 间"
一 <CL> <h>红豆</h> 奶茶 。,一 [MASK] 红豆 奶茶 。,杯,杯,"杯, 碗, 个"
"意大利 杏仁 红 茶 配 焦糖 布丁 , 绝赞 又 找到 一 <CL> 搞 贵宾 活动 的 好 <h>地方</h>","意大利 杏仁 红 茶 配 焦糖 布丁 , 绝赞 又 找到 一 [MASK] 搞 贵宾 活动 的 好 地方",个,个,"个, 家, 处"
这 <CL> <h>药物</h> 将 能 对抗 痴呆症 对人 的 影响 。,这 [MASK] 药物 将 能 对抗 痴呆症 对人 的 影响 。,种,种,"种, 些, 类"
"难得 双方 家长 都 甘 开明 , 呢 <CL> <h>拖</h> 拍 得 真系 好 愉快 。","难得 双方 家长 都 甘 开明 , 呢 [MASK] 拖 拍 得 真系 好 愉快 。",个,次,"次, 个, 架"
"射手座 常 把 爱情 当成 一 <CL> <h>游戏</h> , 喜欢 的 是 不 去 约束 他 的 人 。","射手座 常 把 爱情 当成 一 [MASK] 游戏 , 喜欢 的 是 不 去 约束 他 的 人 。",场,场,"场, 种, 个"
"两 <CL> <h>月</h> 来 状态 一直 不 好 , 辞旧迎新 , 状态 得以 恢复 。","两 [MASK] 月 来 状态 一直 不 好 , 辞旧迎新 , 状态 得以 恢复 。",个,个,"个, 本, 块"
我 在 这里 徐汇区 一 <CL> <h>人</h> 在 上海 好 无聊哦,我 在 这里 徐汇区 一 [MASK] 人 在 上海 好 无聊哦,个,个,"个, 家, 群"
