id,tagged,classifier
LWC_3402630680373840_01,"我 自觉 是 十分 的 木讷 , 一直 保持 着 似乎 一 _ 书呆子 该 有 的 矜持",个
LWC_3404451237213577_01,晚安 睡 吧 做 _ 噩梦,个
LWC_3407098035276100_01,"孩子 是 _ 奢侈品 , 但 我 却 想 拥有 他 !",个
LWC_3404677909798982_01,YUCCA 龙年 的 第一 _ 创作 !,个
LWC_3403973451568628_02,一 日 三 餐 是 _ 挑战 啊,个
LWC_3401378229357453_01,淑女 的 八 _ 特点 1 聪慧 。,个
LWC_3402707933407552_01,"今天 妹妹 很 早 就 睡觉 我 以为 可 逃过 一 劫 没 想起 奥玮 来 _ 半夜 起来 430600 看来 我 是 苦命 的 人 , 晚上 没 办法 闲 着 !",个
LWC_3402777198012017_01,"留守 儿童 很 高兴 , 虽然 我们 这个 团队 只有 6 _ 人 , 大家 也 都 是 普通 人 , 因为 百 度 贴 吧 而 认识 , 现实 中 都 不 认识 , 没有 见 过 面 , 成立 也 只有 半 年 多 的 时间 。",个
LWC_3401762675506540_02,提示 3 _ 字 忘记 前生 的 汤 。,个
LWC_3404095342088571_01,等 windows 版本 absinthe 哈哈哈 等待 了 三 _ 月 我 的 4S 终于 可以 越狱 啦 泪流满面 啊 我 要 游戏 我 要 输入法 我 要 美化,个
LWC_3406510430428104_01,我 决定 T 漫画 去叻 一 星期一 集真 系 T 得 超 五 爽啊 我 发现 我 都 几 中 意 类 _ 白星 公主 哦 嘻嘻,个
LWC_3404836731382789_01,"新年 第一 天 去 夜 店 还 撞衫 , 穿 _ 皮草 还 热 得 不 敢 脱 shit 无 比 无奈",个
LWC_3406326422239904_01,"一大早 , 住院部 的 走廊 , 不时 响起 婴儿 的 啼哭声 , 我 正在 等 着 护士 来 给 我 空腹 验 血 , 一 _ 字 , 饿",个
LWC_3405760371819936_01,"要 有 _ 这样 可爱 的 儿子 , 女儿 就 有 伴 了 。",个
LWC_3402055679585655_01,"一 _ 问题 即使 上升 到 国际 问题 上 , 有时 也 不 能 完全 客观 的 分析 , 只 可能 权衡 。",个
LWC_3403864609098578_01,突然 想起 今天 是 四 _ 人 的 生日 不错 的 一 天 我 姨父 我爷 张睿 王亚运 虽然 回 不 去 但是 还是 要 祝 你们 生日 快乐 。,个
LWC_3401326027661673_01,"创意 家居 这个 茶几 有 意思 , 是 芭蕾舞女 演员 表演 时 一 _ 经典 的 腿部 动作 , 来 作为 茶几 的 脚 , 加上 桌布 的 点缀 就 感觉 她 似 在 表演 芭蕾 。",个
LWC_3403860737990878_01,"南方 都 市报 _ 论四一 专栏 苍井空 为什么 这样 红 1 月 15 日 , 苍井空 现身 北京 某 公司 年会 , 商界 大佬 没 怎么 理会 在场 的 李宇春 王珞丹 等 当红 女星 , 而 是 排队 拥抱 空姐 。",个
LWC_3407031501416958_05,"然后 又 出现 了 我 爱 的 但是 片子 被 砍 了 的 小 帅哥 , 意外 惊喜 啊 只 是 随便 开 _ 片子 。",个
LWC_3404417846301038_01,"牛大亮 , 我 不 是 _ 善于 感恩 的 人 , 在 遇到 你 之前 。",个
LWC_3401799677101348_01,"三 _ 励志 奋斗 的 和尚 , 开设 了 有 水 喝 水 站 , 为了 美好 的 明天 努力 吧",个
UCLA_E_8719_01,1 、 板栗 用 刀 切 _ 小 口子 ;,个
LWC_3401900337084566_01,阴公 今日 整 左 _ 咁噶 头发 洗 都 洗 死 我 又 难 拆 痛苦,个
LWC_3400639268911557_05,就 想 待 在 家 好好 睡 _ 懒觉 !,个
