id,tagged,classifier
LWC_3399773837354918_02,"无意 间 转到 一 _ 摩托车 网站 , 看 着 这些 曾经 情迷 到 疯狂 的 机器 。",个
LWC_3402002002853472_01,上传 了 1 _ 照片 到 相册 真实 的 自己,张
LWC_3406278921652117_01,上传 了 1 _ 照片 到 相册 2012 新 气象,张
LWC_3400873915411223_05,"数 _ 盘石 上 , 几 叶 落 云 中 。",枝
LWC_3406185904657588_01,"哎 , 把 一 _ 电脑 修 的 加电 无 显 了 , 悲催 的 新年 开始 。",台
LWC_3403033734207422_01,"集团 职能 片 年会 , 多 喝 了 两 _ 绿 茶 , 结果 到 现在 还 很 有精神 , 悲催 啊 。",杯
LWC_3403510160399448_06,"分享 了 顺和 牛肉 火锅 , 在 华阳 , 关于 牛 肉类 的 都 不错 , 建议 点牛肝 , 特色 牛肉 图 中 码满 辣椒面 的 那 _ 怕 辣 的 , 肠胃 不 好 的 , 友情 建议 最好 不 要 尝试 哈 。",盘
LWC_3405131905253004_01,"昨晚 女儿 从 九点半 一觉 睡 到今 早 的 七点 , 是 她 出生 到 现在 第一 _ 睡 整夜 觉 没 起来 喝奶 , 心想 是 不过 年 长大 了 今晚 快 九点 睡 了 , 不 知 晚上 还 会 不 会 要 喝奶 希望 不 要",次
LWC_3400464970532152_02,"预祝 满分 , 少 一 _ 回去 请 我 喝 一 瓶 。",分
LWC_3405493810998820_02,贴 一 _ 个人 最 心 水 的 海报 。,张
LWC_3403899408822221_01,"思念 , 猶如 一 _ 鋒利 的 刻刀 , 刺入 心窩 , 再 也 拔 不 出來 了 。",把
LWC_3401754970413576_01,可 乐 鸡翅 炖 排骨 美味 的 一 _ WeicoLomo,餐
LWC_3399869381434361_04,不过 提前 快 一 _ 钟 交卷 的 感觉 真 不错 !,个
LWC_3406477517965839_02,"于是 , 我 就 喝 了 一 _ 黑芝麻糊 是 不 是 很 冷 ?",碗
UCLA_L_31840_02,"坐 在 舱 内 , 我 又 抬 起 头 , 透过 一 _ 大大 的 防 激光 玻璃 , 我 又 看到 了 星空 , 依旧 是 那么 的 灿烂 。",扇
LWC_3401854084884426_01,今天 拍 全 _ 福咯 !,家
LWC_3400428033797825_01,"在 武汉 的 时候 我 总是 问 你 我 爱 你 你 爱 我 吗 , 每 _ 听到 你 说 我 爱 你 的 时候 我 真 想 大 声 地 告诉 大家 你 是 我 的 , 这 就 是 我 表达 我 心 中 喜悦 的 方式 , 呵呵 , 很 蠢 !",次
LWC_3402159727107448_05,一 _ 红豆 奶茶 。,杯
LWC_3401034505175024_01,"意大利 杏仁 红 茶 配 焦糖 布丁 , 绝赞 又 找到 一 _ 搞 贵宾 活动 的 好 地方",个
LWC_3405650006182441_04,这 _ 药物 将 能 对抗 痴呆症 对人 的 影响 。,种
LWC_3405861408239834_02,"难得 双方 家长 都 甘 开明 , 呢 _ 拖 拍 得 真系 好 愉快 。",个
LWC_3404002076781032_01,"射手座 常 把 爱情 当成 一 _ 游戏 , 喜欢 的 是 不 去 约束 他 的 人 。",场
LWC_3404434283540587_01,"两 _ 月 来 状态 一直 不 好 , 辞旧迎新 , 状态 得以 恢复 。",个
LWC_3400312790882537_01,我 在 这里 徐汇区 一 _ 人 在 上海 好 无聊哦,个
LWC_3402154952118573_01,"夏茗悠 8 记忆 中 的 阳光 总是 明亮 耀眼 , 使 人影 无处 藏身 , 哪怕 是 最 屈辱 最 悲伤 的 日子 , 湛蓝 如洗 的 天空 也 不 带 一 _ 云彩 。",丝
LWC_3401290973668823_01,"一 _ 人 上班 , 下班 , 吃饭 , 睡觉 , 周末 回家 , 时间 仿佛 回到 了 一 年 前 , 却 又 似 不 一样 。",个
LWC_3400897711564943_04,"哎 , 有点 想 我 的 室友 了 同 床 共 枕 过 的 张青 , 对床 的 晓青 , 还 有 早起 的 晓珍 , 高 二一 _ 吃 饭 的 白杨",起
LWC_3402779722905817_01,20111124 _ DuaDua 风舞 誓死 改掉 拖延 症亲 。,盒
LWC_3402058881627039_02,"省 政协 委员 刘立平 昨天 向 记者 介绍 他 的 一 _ 提案 , 建议 http t cn z0gjQlw 分享 自 这 不 能 搞 山寨",份
LWC_3401943406031689_03,"用 热 脸 去 贴 别 _ 冷屁股 , 只 能 说 自己 个人 犯贱 !",个
LWC_3404394244648925_07,虽 说 鸥翼 真的 是 _ 大 美人 !,个
LWC_3405415687733491_01,"我 的 人生 , 就 像 眼影 一樣 的 弧度 , 画成 一 _ 不 怕 枯萎 的 葉子 , 無論颳風 暴雨 , 衹要 還剩 一口氣 , 我還 是 堅持 走 自己 的 路 , 微笑 地 面對 所有人 的 目光 与 論語 , 讓別 人 說去 。",片
LWC_3402791592816521_01,好在 有 俄 的 小 3 _ 帮 拖 不然 真的 死 了 不过 还 是 差,门
LWC_3404694229735251_02,"努力 了 整个 下午 , 加上 老屋 , 一共 贴 了 四 _ 对联 。",副
LWC_3407116620700767_01,我 想 换 _ 微博 名字 。,个
