new_index,original_sentence,target,top1_prediction,top1_log_probability,top3_predictions,top3_log_probabilities
1,"无意 间 转到 一 <CL> 摩托车 网站 , 看 着 这些 曾经 情迷 到 疯狂 的 机器 。",个,本,-2.4218740463256836,"本, 发, 种","-2.4219, -2.4648, -2.4728"
2,上传 了 1 <CL> 照片 到 相册 真实 的 自己,张,本,-1.494774580001831,"本, 个, 下","-1.4948, -2.3748, -2.9671"
3,上传 了 1 <CL> 照片 到 相册 2012 新 气象,张,本,-1.494774580001831,"本, 个, 下","-1.4948, -2.3748, -2.9671"
4,"数 <CL> 盘石 上 , 几 叶 落 云 中 。",枝,个,-1.7813609838485718,"个, 次, 家","-1.7814, -1.8720, -3.0317"
5,"哎 , 把 一 <CL> 电脑 修 的 加电 无 显 了 , 悲催 的 新年 开始 。",台,把,-0.5439497828483582,"把, 下, 个","-0.5439, -2.6172, -2.7296"
6,"集团 职能 片 年会 , 多 喝 了 两 <CL> 绿 茶 , 结果 到 现在 还 很 有精神 , 悲催 啊 。",杯,杯,-0.5595476627349854,"杯, 瓶, 碗","-0.5595, -1.5912, -2.6439"
7,"分享 了 顺和 牛肉 火锅 , 在 华阳 , 关于 牛 肉类 的 都 不错 , 建议 点牛肝 , 特色 牛肉 图 中 码满 辣椒面 的 那 <CL> 怕 辣 的 , 肠胃 不 好 的 , 友情 建议 最好 不 要 尝试 哈 。",盘,种,-1.1453946828842163,"种, 个, 块","-1.1454, -1.2549, -2.7217"
8,"昨晚 女儿 从 九点半 一觉 睡 到今 早 的 七点 , 是 她 出生 到 现在 第一 <CL> 睡 整夜 觉 没 起来 喝奶 , 心想 是 不过 年 长大 了 今晚 快 九点 睡 了 , 不 知 晚上 还 会 不 会 要 喝奶 希望 不 要",次,次,-0.6920076012611389,"次, 个, 位","-0.6920, -0.8934, -4.8075"
9,"预祝 满分 , 少 一 <CL> 回去 请 我 喝 一 瓶 。",分,分,-0.9760493040084839,"分, 个, 点","-0.9760, -1.0437, -2.3815"
10,贴 一 <CL> 个人 最 心 水 的 海报 。,张,本,-2.7125747203826904,"本, 家, 行","-2.7126, -2.7569, -2.9103"
11,"思念 , 猶如 一 <CL> 鋒利 的 刻刀 , 刺入 心窩 , 再 也 拔 不 出來 了 。",把,片,-2.554560661315918,"片, 段, 句","-2.5546, -2.6457, -2.6679"
12,可 乐 鸡翅 炖 排骨 美味 的 一 <CL> WeicoLomo,餐,道,-0.4277351200580597,"道, 餐, 顿","-0.4277, -1.6437, -2.8723"
13,不过 提前 快 一 <CL> 钟 交卷 的 感觉 真 不错 !,个,点,-0.26540088653564453,"点, 些, 下","-0.2654, -2.4855, -3.6904"
14,"于是 , 我 就 喝 了 一 <CL> 黑芝麻糊 是 不 是 很 冷 ?",碗,杯,-1.5602564811706543,"杯, 点, 口","-1.5603, -2.3753, -2.5192"
15,"坐 在 舱 内 , 我 又 抬 起 头 , 透过 一 <CL> 大大 的 防 激光 玻璃 , 我 又 看到 了 星空 , 依旧 是 那么 的 灿烂 。",扇,片,-1.683586597442627,"片, 个, 眼","-1.6836, -1.7204, -2.5813"
16,今天 拍 全 <CL> 福咯 !,家,部,-0.8298943638801575,"部, 家, 片","-0.8299, -2.1955, -2.5655"
17,"在 武汉 的 时候 我 总是 问 你 我 爱 你 你 爱 我 吗 , 每 <CL> 听到 你 说 我 爱 你 的 时候 我 真 想 大 声 地 告诉 大家 你 是 我 的 , 这 就 是 我 表达 我 心 中 喜悦 的 方式 , 呵呵 , 很 蠢 !",次,次,-0.06165799871087074,"次, 个, 回","-0.0617, -3.1549, -5.0519"
18,一 <CL> 红豆 奶茶 。,杯,部,-2.274672031402588,"部, 家, 本","-2.2747, -2.3137, -2.3768"
19,"意大利 杏仁 红 茶 配 焦糖 布丁 , 绝赞 又 找到 一 <CL> 搞 贵宾 活动 的 好 地方",个,家,-0.4101404547691345,"家, 个, 款","-0.4101, -2.3371, -2.9795"
