new_index,sentence,target,top1_prediction,top1_log_probability,top3_predictions,top3_log_probabilities
1,"无意 间 转到 一 [MASK] 摩托车  , 看 着 这些 曾经 情迷 到 疯狂 的 机器 。",个,辆,-0.34784987568855286,"辆, 台, 部","-0.3478, -1.8612, -2.8338"
2,上传 了 1 [MASK]  到 相册 真实 的 自己,张,张,-0.06522374600172043,"张, 个, 页","-0.0652, -3.9329, -4.2726"
3,上传 了 1 [MASK]  到 相册 2012 新 气象,张,张,-0.029713967815041542,"张, 页, 片","-0.0297, -4.8877, -5.0334"
4,"数 [MASK]  上 , 几 叶 落 云 中 。",枝,枝,-1.561924695968628,"枝, 路, 句","-1.5619, -2.0674, -2.5272"
5,"哎 , 把 一 [MASK]  修 的 加电 无 显 了 , 悲催 的 新年 开始 。",台,下,-1.9660794734954834,"下, 楼, 个","-1.9661, -2.3243, -2.3415"
6,"集团 职能 片 年会 , 多 喝 了 两 [MASK] 绿  , 结果 到 现在 还 很 有精神 , 悲催 啊 。",杯,杯,-0.8366299867630005,"杯, 瓶, 罐","-0.8366, -1.2682, -3.4453"
7,"分享 了 顺和 牛肉 火锅 , 在 华阳 , 关于 牛 肉类 的 都 不错 , 建议 点牛肝 , 特色 牛肉 图 中 码满 辣椒面 的 那 [MASK] 怕 辣 的 , 肠胃 不 好 的 , 友情  最好 不 要 尝试 哈 。",盘,种,-0.346204549074173,"种, 个, 些","-0.3462, -1.9118, -2.6730"
8,"昨晚 女儿 从 九点半 一觉  到今 早 的 七点 , 是 她 出生 到 现在 第一 [MASK] 睡 整夜 觉 没 起来 喝奶 , 心想 是 不过 年 长大 了 今晚 快 九点 睡 了 , 不 知 晚上 还 会 不 会 要 喝奶 希望 不 要",次,次,-0.11576449126005173,"次, 个, 位","-0.1158, -2.2898, -6.8698"
9,"预祝 满分 , 少 一 [MASK]  请 我 喝 一 瓶 。",分,瓶,-0.8859558701515198,"瓶, 点, 杯","-0.8860, -1.8110, -2.0514"
10,贴 一 [MASK] 个人 最 心 水 的  。,张,些,-0.854542076587677,"些, 下, 个","-0.8545, -1.0785, -1.8357"
11,"思念 , 猶如 一 [MASK]  的 刻刀 , 刺入 心窩 , 再 也 拔 不 出來 了 。",把,把,-0.09717071801424026,"把, 根, 道","-0.0972, -3.9995, -4.3552"
12,可 乐 鸡翅 炖 排骨 美味 的 一 [MASK] ,餐,个,-1.9548803567886353,"个, 碗, 餐","-1.9549, -2.7332, -2.9479"
13,不过 提前 快 一 [MASK] 钟 交卷 的  真 不错 !,个,分,-0.026140788570046425,"分, 点, 个","-0.0261, -4.0326, -4.9478"
14,"于是 , 我 就 喝 了 一 [MASK]  是 不 是 很 冷 ?",碗,杯,-1.1282634735107422,"杯, 口, 瓶","-1.1283, -1.2055, -1.9511"
15,"坐 在 舱 内 , 我 又 抬 起 头 , 透过 一 [MASK] 大大 的  激光 玻璃 , 我 又 看到 了 星空 , 依旧 是 那么 的 灿烂 。",扇,片,-1.2009243965148926,"片, 块, 面","-1.2009, -1.9138, -1.9147"
16,今天 拍 全 [MASK]  !,家,部,-1.4326292276382446,"部, 集, 片","-1.4326, -1.6676, -1.8305"
17,"在 武汉 的  我 总是 问 你 我 爱 你 你 爱 我 吗 , 每 [MASK] 听到 你 说 我 爱 你 的 时候 我 真 想 大 声 地 告诉 大家 你 是 我 的 , 这 就 是 我 表达 我 心 中 喜悦 的 方式 , 呵呵 , 很 蠢 !",次,次,-0.003081594593822956,"次, 回, 个","-0.0031, -6.5626, -6.8560"
18,一 [MASK]  奶茶 。,杯,杯,-0.29236888885498047,"杯, 碗, 瓶","-0.2924, -2.5252, -3.0210"
19,"意大利 杏仁 红 茶 配 焦糖 布丁 , 绝赞 又 找到 一 [MASK] 搞 贵宾 活动 的 好 ",个,个,-0.28478512167930603,"个, 家, 位","-0.2848, -1.8451, -3.3279"
20,这 [MASK]  将 能 对抗 痴呆症 对人 的 影响 。,种,样,-0.6707336902618408,"样, 些, 个","-0.6707, -0.8591, -4.0772"
21,"难得 双方 家长 都 甘 开明 , 呢 [MASK]  拍 得 真系 好 愉快 。",个,次,-1.2913109064102173,"次, 张, 片","-1.2913, -1.8754, -1.8982"
22,"射手座 常 把 爱情 当成 一 [MASK]  , 喜欢 的 是 不 去 约束 他 的 人 。",场,种,-1.2419722080230713,"种, 束, 样","-1.2420, -1.9081, -2.5945"
23,"两 [MASK]  来 状态 一直 不 好 , 辞旧迎新 , 状态 得以 恢复 。",个,个,-0.46255823969841003,"个, 次, 季","-0.4626, -1.4177, -4.0849"
24,我 在 这里 徐汇区 一 [MASK]  在 上海 好 无聊哦,个,起,-1.3684015274047852,"起, 个, 样","-1.3684, -2.0408, -2.1265"
25,"夏茗悠 8 记忆 中 的 阳光 总是 明亮 耀眼 , 使 人影 无处 藏身 , 哪怕 是 最 屈辱 最 悲伤 的 日子 , 湛蓝 如洗 的 天空 也 不 带 一 [MASK]  。",丝,丝,-0.9559080004692078,"丝, 点, 样","-0.9559, -1.3666, -2.4929"
26,"一 [MASK]  上班 , 下班 , 吃饭 , 睡觉 , 周末 回家 , 时间 仿佛 回到 了 一 年 前 , 却 又 似 不 一样 。",个,起,-0.5217646360397339,"起, 路, 个","-0.5218, -1.5321, -2.8658"
27,"哎 , 有点 想 我 的 室友 了 同 床 共 枕 过 的 张青 , 对床 的 晓青 , 还 有 早起 的 晓珍 , 高 二一 [MASK] 吃 饭 的 ",起,起,-0.06905481219291687,"起, 班, 次","-0.0691, -3.6127, -4.5675"
28,20111124 [MASK]  风舞 誓死 改掉 拖延 症亲 。,盒,张,-2.081932306289673,"张, 季, 任","-2.0819, -2.3543, -2.5834"
29,"省 政协 委员 刘立平 昨天 向 记者 介绍 他 的 一 [MASK]  , 建议 http t cn z0gjQlw 分享 自 这 不 能 搞 山寨",份,点,-1.2249926328659058,"点, 些, 家","-1.2250, -1.8060, -2.7250"
30,"用 热 脸 去 贴 别 [MASK]  , 只 能 说 自己 个人 犯贱 !",个,处,-0.40949946641921997,"处, 家, 脸","-0.4095, -1.9774, -3.2455"
31,虽 说 鸥翼 真的 是 [MASK] 大  !,个,棒,-1.620474100112915,"棒, 级, 个","-1.6205, -2.0245, -2.1901"
32,"我 的 人生 , 就 像 眼影 一樣 的 弧度 , 画成 一 [MASK] 不 怕 枯萎 的  , 無論颳風 暴雨 , 衹要 還剩 一口氣 , 我還 是 堅持 走 自己 的 路 , 微笑 地 面對 所有人 的 目光 与 論語 , 讓別 人 說去 。",片,圈,-1.9536486864089966,"圈, 朵, 副","-1.9536, -2.1214, -2.4078"
33,好在 有 俄 的 小 3 [MASK]  拖 不然 真的 死 了 不过 还 是 差,门,帮,-0.8638380765914917,"帮, 包, 支","-0.8638, -2.3586, -2.5253"
34,"努力 了 整个 下午 , 加上 老屋 , 一共 贴 了 四 [MASK]  。",副,张,-0.3996858298778534,"张, 次, 页","-0.3997, -2.7002, -3.4143"
35,我 想 换 [MASK] 微博  。,个,个,-0.04842698574066162,"个, 条, 张","-0.0484, -3.8898, -4.8848"
36,"小 七 祝 大家 好 事 接 2 连 3 , 心情 4 [MASK]  , 生活 5 颜 6 色 , 7 彩 缤纷 , 偶尔 8 点 小 财 , 烦恼 抛 到 9 霄 云外 !",季,面,-1.3325129747390747,"面, 样, 分","-1.3325, -1.5063, -2.1167"
